user_id,measurement_date,hours_streaming,hours_social,hours_messaging,hours_gaming,is_peak_hour_user,is_weekend,age_group,plan_type,device_type,network_type,data_usage_category,streaming_data_gb,social_data_gb,messaging_data_gb,gaming_data_gb,total_data_gb
SUB1721037,2026-04-09,0.52,1.83,0.34,0.01,1,1,18-24,Prepaid_Monthly,Premium_Smartphone,4G+,Light,0.6459199999999999,0.58892,0.00317,0.00046,1.31867
SUB3781652,2026-03-22,8.0,1.5,1.5,0.03,1,0,25-34,Postpaid_Premium,Premium_Smartphone,5G,Power_User,27.162080000000003,0.57717,0.00959,0.00226,25.791700000000002
SUB5552939,2026-04-10,0.01,0.08,0.01,0.01,0,0,45-54,Prepaid_Monthly,Basic_Phone,4G,Very_Light,0.00885,0.015380000000000001,0.00014000000000000001,0.0015,0.04309
SUB3550552,2026-04-15,0.03,0.1,0.09,0.0,0,0,35-44,Prepaid_Daily,Basic_Phone,3G,Very_Light,0.01154,0.01294,0.0016,0.0,0.04752
SUB3062624,2026-04-04,1.0,1.76,0.13,0.14,0,0,45-54,Postpaid_Unlimited,Premium_Smartphone,4G+,Moderate,2.33009,0.57862,0.00114,0.01264,3.14287
SUB6304120,2026-03-26,2.28,0.31,0.12,0.04,0,1,25-34,Prepaid_Monthly,Mid_Range,4G,Light,1.72796,0.07803,0.00101,0.00217,1.7281900000000001
SUB6121632,2026-03-20,0.16,0.21,0.0,0.36,0,0,35-44,Prepaid_Monthly,Basic_Phone,4G+,Very_Light,0.18280000000000002,0.04803,0.0,0.02133,0.25698000000000004
SUB3470562,2026-04-11,0.79,2.3,0.17,6.0,0,1,35-44,Postpaid_Basic,5G_Device,5G,Moderate,1.6122,0.91998,0.00283,0.8509,3.76975
SUB3053262,2026-04-13,1.15,0.31,0.42,0.03,1,0,35-44,Prepaid_Monthly,Mid_Range,4G,Light,1.25236,0.05604,0.0034300000000000003,0.0026,1.48804
SUB1533636,2026-04-06,1.01,3.71,0.27,0.86,0,0,25-34,Postpaid_Basic,Premium_Smartphone,5G,Moderate,1.9441,1.2043599999999999,0.0013700000000000001,0.10551,3.2286799999999998
SUB4517741,2026-03-24,1.35,0.62,0.41,0.86,0,0,25-34,Prepaid_Daily,Mid_Range,4G,Light,1.26513,0.10255,0.00756,0.09197,1.6305399999999999
SUB3496589,2026-04-06,0.5,1.99,0.04,0.04,0,1,45-54,Prepaid_Daily,Mid_Range,5G,Light,1.23668,0.56749,0.00031,0.00558,1.9872100000000001
SUB2960299,2026-03-24,0.18,0.72,0.08,0.06,1,0,18-24,Postpaid_Premium,Basic_Phone,4G,Light,0.27393,0.17339,0.00092,0.00259,0.51452
