user_id,measurement_date,hours_streaming,hours_social,hours_messaging,hours_gaming,streaming_data_mb,social_data_mb,messaging_data_mb,gaming_data_mb,total_data_mb,is_peak_hour_user,is_weekend,age_group,plan_type,device_type,network_type,data_usage_category
SUB7423388,2026-04-07,0.33,0.66,0.87,0.37,542.92,133.07,13.32,60.29,756.41,0,1,18-24,Prepaid_Monthly,Mid_Range,4G+,Light
SUB7550634,2026-04-06,1.07,3.03,0.46,0.04,1214.57,814.33,8.67,3.0,2292.13,0,0,45-54,Postpaid_Premium,5G_Device,4G,Moderate
SUB5304572,2026-03-20,0.54,0.45,0.71,1.25,814.07,102.5,11.07,149.01,1124.3,1,0,25-34,Postpaid_Unlimited,Mid_Range,4G,Light
SUB3234489,2026-04-14,3.38,1.92,0.0,1.18,12057.73,624.75,0.0,132.93,12649.53,1,0,45-54,Postpaid_Unlimited,5G_Device,5G,Power_User
SUB8204212,2026-03-31,0.25,0.38,0.13,0.47,178.69,92.37,0.86,71.8,500.87,0,1,25-34,Prepaid_Daily,Premium_Smartphone,4G,Very_Light
SUB5472471,2026-04-05,1.22,6.0,0.49,0.37,1860.67,1546.29,4.27,45.88,3361.08,0,0,25-34,Prepaid_Daily,Tablet,5G,Moderate
SUB5523669,2026-04-10,0.6,0.2,0.09,0.04,277.23,28.9,0.63,1.94,364.2,1,1,25-34,Prepaid_Monthly,Basic_Phone,3G,Very_Light
SUB8404852,2026-04-14,0.9,0.1,0.51,0.11,961.48,24.14,3.43,19.75,1112.28,1,0,35-44,Postpaid_Premium,Basic_Phone,4G,Light
SUB5981505,2026-03-28,3.41,2.49,1.96,1.33,4910.11,637.14,25.5,183.36,6377.66,1,0,35-44,Postpaid_Unlimited,Premium_Smartphone,4G,Heavy
SUB2766891,2026-03-26,1.0,1.47,0.11,0.04,1396.58,293.05,1.57,3.1,1690.09,0,1,55+,Postpaid_Premium,5G_Device,4G,Light
SUB5521373,2026-03-30,0.25,0.83,0.54,0.23,495.4,258.6,3.91,29.1,911.73,0,0,35-44,Postpaid_Basic,Premium_Smartphone,5G,Light
SUB7019877,2026-04-06,1.38,1.08,1.15,0.83,3312.23,271.08,11.79,123.06,3476.51,0,0,25-34,Prepaid_Daily,Premium_Smartphone,5G,Moderate
SUB4344769,2026-04-09,0.21,0.49,0.05,0.04,168.73,40.54,0.93,7.3,219.26,0,0,45-54,Postpaid_Premium,Basic_Phone,3G,Very_Light
