user_id,measurement_date,hours_streaming,hours_social,hours_messaging,hours_gaming,is_peak_hour_user,is_weekend,age_group,plan_type,device_type,network_type,data_usage_category,streaming_data_gb,social_data_gb,messaging_data_gb,gaming_data_gb,total_data_gb
SUB7423388,2026-04-07,0.33,0.66,0.87,0.37,0,1,18-24,Prepaid_Monthly,Mid_Range,4G+,Light,0.54292,0.13307,0.01332,0.060289999999999996,0.7564099999999999
SUB7550634,2026-04-06,1.07,3.03,0.46,0.04,0,0,45-54,Postpaid_Premium,5G_Device,4G,Moderate,1.21457,0.81433,0.00867,0.003,2.2921300000000002
SUB5304572,2026-03-20,0.54,0.45,0.71,1.25,1,0,25-34,Postpaid_Unlimited,Mid_Range,4G,Light,0.8140700000000001,0.1025,0.01107,0.14901,1.1242999999999999
SUB3234489,2026-04-14,3.38,1.92,0.0,1.18,1,0,45-54,Postpaid_Unlimited,5G_Device,5G,Power_User,12.05773,0.62475,0.0,0.13293000000000002,12.64953
SUB8204212,2026-03-31,0.25,0.38,0.13,0.47,0,1,25-34,Prepaid_Daily,Premium_Smartphone,4G,Very_Light,0.17869,0.09237000000000001,0.00086,0.0718,0.50087
SUB5472471,2026-04-05,1.22,6.0,0.49,0.37,0,0,25-34,Prepaid_Daily,Tablet,5G,Moderate,1.86067,1.54629,0.0042699999999999995,0.045880000000000004,3.36108
SUB5523669,2026-04-10,0.6,0.2,0.09,0.04,1,1,25-34,Prepaid_Monthly,Basic_Phone,3G,Very_Light,0.27723000000000003,0.0289,0.00063,0.0019399999999999999,0.36419999999999997
SUB8404852,2026-04-14,0.9,0.1,0.51,0.11,1,0,35-44,Postpaid_Premium,Basic_Phone,4G,Light,0.96148,0.02414,0.0034300000000000003,0.01975,1.11228
SUB5981505,2026-03-28,3.41,2.49,1.96,1.33,1,0,35-44,Postpaid_Unlimited,Premium_Smartphone,4G,Heavy,4.9101099999999995,0.63714,0.0255,0.18336000000000002,6.37766
SUB2766891,2026-03-26,1.0,1.47,0.11,0.04,0,1,55+,Postpaid_Premium,5G_Device,4G,Light,1.39658,0.29305000000000003,0.00157,0.0031,1.6900899999999999
SUB5521373,2026-03-30,0.25,0.83,0.54,0.23,0,0,35-44,Postpaid_Basic,Premium_Smartphone,5G,Light,0.49539999999999995,0.2586,0.00391,0.0291,0.91173
SUB7019877,2026-04-06,1.38,1.08,1.15,0.83,0,0,25-34,Prepaid_Daily,Premium_Smartphone,5G,Moderate,3.31223,0.27108,0.011789999999999998,0.12306,3.47651
SUB4344769,2026-04-09,0.21,0.49,0.05,0.04,0,0,45-54,Postpaid_Premium,Basic_Phone,3G,Very_Light,0.16873,0.04054,0.00093,0.0073,0.21925999999999998
SUB1103355,2026-03-19,0.04,0.11,0.34,0.11,1,1,55+,Prepaid_Daily,Mid_Range,4G+,Very_Light,0.06412000000000001,0.03196,0.00663,0.0126,0.20036
SUB2262752,2026-03-25,0.54,0.26,0.52,0.34,0,0,25-34,Prepaid_Daily,Mid_Range,4G,Light,0.58989,0.045880000000000004,0.00311,0.054619999999999995,0.7480800000000001
