user_id,customer_tenure_months,contract_duration_months,monthly_bill_usd,support_calls_6months,churn_probability,churn_status,churn_reason,churn_risk_category,support_calls_group
SUB7423388,24,6,22.23,3,0.354,0,,Low,3-4 calls
SUB7550634,3,3,69.47,1,0.103,0,,Very_Low,1-2 calls
SUB5304572,48,12,80.49,2,0.034,0,,Very_Low,1-2 calls
SUB3234489,6,12,95.19,1,0.055,0,,Very_Low,1-2 calls
SUB8204212,24,12,10.42,2,0.273,0,,Low,1-2 calls
SUB5472471,36,12,13.37,0,0.153,0,,Very_Low,0 calls
SUB5523669,3,6,27.62,0,0.95,1,Relocation/Moving,Very_High,0 calls
SUB8404852,1,24,87.96,3,0.41,0,,Medium,3-4 calls
SUB5981505,18,1,113.52,4,0.079,0,,Very_Low,3-4 calls
SUB2766891,18,24,56.27,0,0.029,0,,Very_Low,0 calls
SUB5521373,18,6,39.85,1,0.105,1,Network Quality Issues,Very_Low,1-2 calls
SUB7019877,12,3,13.88,1,0.328,0,,Low,1-2 calls
SUB4344769,48,1,73.41,1,0.224,1,Service Not Needed,Low,1-2 calls
SUB1103355,18,3,7.05,1,0.105,0,,Very_Low,1-2 calls
SUB2262752,1,1,7.7,3,0.819,1,Price Too High,Very_High,3-4 calls
SUB6664789,24,6,84.54,2,0.079,0,,Very_Low,1-2 calls
SUB6743066,6,6,46.29,2,0.157,0,,Very_Low,1-2 calls
SUB7113790,24,6,14.06,3,0.41,0,,Medium,3-4 calls
SUB5721339,1,3,20.32,1,0.157,0,,Very_Low,1-2 calls
SUB4275709,24,12,7.52,3,0.41,0,,Medium,3-4 calls
SUB1084654,12,12,32.87,6,0.702,1,Network Quality Issues,High,5+ calls
SUB6147581,24,24,24.48,1,0.219,1,Relocation/Moving,Low,1-2 calls
SUB2954354,12,3,93.12,0,0.035,0,,Very_Low,0 calls
SUB9242680,24,24,17.19,1,0.236,0,,Low,1-2 calls
