user_id,total_data_mb,total_data_gb,streaming_data_mb,social_data_mb,messaging_data_mb,gaming_data_mb,data_usage_category
SUB7423388,756.41,0.739,542.92,133.07,13.32,60.29,Light
SUB7550634,2292.13,2.238,1214.57,814.33,8.67,3.0,Moderate
SUB5304572,1124.3,1.098,814.07,102.5,11.07,149.01,Light
SUB3234489,12649.53,12.353,12057.73,624.75,0.0,132.93,Power_User
SUB8204212,500.87,0.489,178.69,92.37,0.86,71.8,Very_Light
SUB5472471,3361.08,3.282,1860.67,1546.29,4.27,45.88,Moderate
SUB5523669,364.2,0.356,277.23,28.9,0.63,1.94,Very_Light
SUB8404852,1112.28,1.086,961.48,24.14,3.43,19.75,Light
SUB5981505,6377.66,6.228,4910.11,637.14,25.5,183.36,Heavy
SUB2766891,1690.09,1.65,1396.58,293.05,1.57,3.1,Light
SUB5521373,911.73,0.89,495.4,258.6,3.91,29.1,Light
SUB7019877,3476.51,3.395,3312.23,271.08,11.79,123.06,Moderate
SUB4344769,219.26,0.214,168.73,40.54,0.93,7.3,Very_Light
SUB1103355,200.36,0.196,64.12,31.96,6.63,12.6,Very_Light
SUB2262752,748.08,0.731,589.89,45.88,3.11,54.62,Light
SUB6664789,3226.57,3.151,1012.37,2088.23,22.65,128.55,Moderate
SUB6743066,1491.05,1.456,962.95,395.96,0.72,21.72,Light
SUB7113790,1089.85,1.064,317.0,650.52,0.73,0.87,Light
SUB5721339,1052.88,1.028,849.5,12.25,0.28,36.88,Light
SUB4275709,6910.04,6.748,7001.06,83.85,3.28,51.94,Heavy
SUB1084654,1013.04,0.989,547.23,309.4,1.46,118.48,Light
SUB6147581,230.66,0.225,90.69,41.94,13.14,8.98,Very_Light
SUB2954354,616.42,0.602,201.39,215.41,22.34,115.56,Light
SUB9242680,1160.44,1.133,625.19,365.91,1.34,166.79,Light
SUB3428388,645.24,0.63,588.82,59.76,0.22,31.85,Light
SUB9916786,1269.31,1.24,864.67,147.63,9.66,51.96,Light
SUB3663046,445.18,0.435,281.42,68.01,2.18,6.98,Very_Light
SUB6499720,598.42,0.584,383.16,154.53,2.64,19.66,Light
SUB7640913,6931.48,6.769,4666.55,1571.69,3.65,3.6,Heavy
SUB4416664,3032.2,2.961,2686.06,479.51,8.43,1.84,Moderate
SUB4385659,4988.23,4.871,5189.72,24.82,0.74,0.0,Moderate
SUB4385357,1185.49,1.158,1049.01,214.58,0.16,0.0,Light
SUB2465689,1090.14,1.065,779.27,261.99,8.75,21.73,Light
SUB1068148,806.31,0.787,577.89,53.68,8.59,7.43,Light
SUB2825665,3138.81,3.065,2901.33,138.64,6.49,90.64,Moderate
SUB3745683,8172.16,7.981,7728.33,1022.23,8.16,2.77,Heavy
SUB5056518,629.19,0.614,230.15,239.52,6.83,34.72,Light
SUB3669995,1180.6,1.153,929.41,78.39,8.73,16.22,Light
SUB5997895,832.87,0.813,564.76,212.11,0.36,86.26,Light
SUB7397986,14371.72,14.035,12407.4,534.0,1.54,618.87,Power_User
SUB2870928,1656.97,1.618,475.58,940.4,8.31,40.57,Light
SUB5155299,663.71,0.648,225.0,222.81,2.33,14.73,Light
SUB7249859,834.47,0.815,562.55,203.11,5.18,7.07,Light
SUB3305413,9130.95,8.917,8940.18,415.2,0.18,5.8,Heavy
SUB4910197,215.31,0.21,38.09,110.55,1.01,43.54,Very_Light
SUB6558019,285.11,0.278,36.51,164.97,6.82,43.65,Very_Light
SUB6414709,6159.82,6.015,4394.95,1214.64,9.72,33.83,Heavy
SUB1271836,2992.26,2.922,2206.78,359.03,20.22,4.13,Moderate
SUB4584702,2566.79,2.507,1938.98,365.57,15.52,223.44,Moderate
SUB8281369,1057.93,1.033,767.54,166.5,39.35,51.7,Light
SUB3299435,307.67,0.3,191.02,70.97,2.37,19.29,Very_Light
SUB9585377,594.57,0.581,253.87,294.65,0.15,10.33,Light
SUB3658505,1116.5,1.09,911.29,190.1,1.52,13.47,Light
SUB2271741,6263.57,6.117,4102.1,1172.99,12.83,340.12,Heavy
SUB4769315,488.47,0.477,323.31,81.51,5.65,63.77,Very_Light
SUB2046797,6795.09,6.636,5753.78,447.81,9.18,73.76,Heavy
SUB4047262,2547.41,2.488,1907.72,523.82,18.9,90.87,Moderate
SUB1564685,528.85,0.516,415.27,102.41,16.16,5.76,Light
SUB3879190,13079.75,12.773,12288.67,317.81,3.06,191.3,Power_User
