user_id,hours_streaming,hours_social,hours_messaging,hours_gaming,background_data_mb,is_peak_hour_user,is_weekend,age_group,plan_type,device_type,network_type,measurement_date
SUB7423388,0.33,0.66,0.87,0.37,77.19,0,1,18-24,Prepaid_Monthly,Mid_Range,4G+,2026-04-07
SUB7550634,1.07,3.03,0.46,0.04,71.44,0,0,45-54,Postpaid_Premium,5G_Device,4G,2026-04-06
SUB5304572,0.54,0.45,0.71,1.25,50.94,1,0,25-34,Postpaid_Unlimited,Mid_Range,4G,2026-03-20
SUB3234489,3.38,1.92,0.0,1.18,146.45,1,0,45-54,Postpaid_Unlimited,5G_Device,5G,2026-04-14
SUB8204212,0.25,0.38,0.13,0.47,120.55,0,1,25-34,Prepaid_Daily,Premium_Smartphone,4G,2026-03-31
SUB5472471,1.22,6.0,0.49,0.37,149.09,0,0,25-34,Prepaid_Daily,Tablet,5G,2026-04-05
SUB5523669,0.6,0.2,0.09,0.04,30.5,1,1,25-34,Prepaid_Monthly,Basic_Phone,3G,2026-04-10
SUB8404852,0.9,0.1,0.51,0.11,31.38,1,0,35-44,Postpaid_Premium,Basic_Phone,4G,2026-04-14
SUB5981505,3.41,2.49,1.96,1.33,109.74,1,0,35-44,Postpaid_Unlimited,Premium_Smartphone,4G,2026-03-28
SUB2766891,1.0,1.47,0.11,0.04,88.91,0,1,55+,Postpaid_Premium,5G_Device,4G,2026-03-26
SUB5521373,0.25,0.83,0.54,0.23,120.95,0,0,35-44,Postpaid_Basic,Premium_Smartphone,5G,2026-03-30
SUB7019877,1.38,1.08,1.15,0.83,81.92,0,0,25-34,Prepaid_Daily,Premium_Smartphone,5G,2026-04-06
SUB4344769,0.21,0.49,0.05,0.04,5.0,0,0,45-54,Postpaid_Premium,Basic_Phone,3G,2026-04-09
SUB1103355,0.04,0.11,0.34,0.11,87.17,1,1,55+,Prepaid_Daily,Mid_Range,4G+,2026-03-19
SUB2262752,0.54,0.26,0.52,0.34,50.88,0,0,25-34,Prepaid_Daily,Mid_Range,4G,2026-03-25
SUB6664789,0.53,6.0,2.85,1.21,141.57,1,0,18-24,Postpaid_Unlimited,Premium_Smartphone,4G+,2026-04-02
SUB6743066,1.18,1.43,0.08,0.28,61.59,0,1,35-44,Postpaid_Basic,Mid_Range,4G,2026-03-25
SUB7113790,0.14,1.93,0.06,0.01,95.01,0,0,25-34,Prepaid_Daily,Mid_Range,5G,2026-03-24
SUB5721339,0.54,0.06,0.02,0.25,110.54,0,0,55+,Prepaid_Monthly,Premium_Smartphone,4G+,2026-04-17
SUB4275709,3.94,0.29,0.48,0.52,139.43,0,1,25-34,Prepaid_Daily,5G_Device,5G,2026-04-02
SUB1084654,1.27,3.4,0.27,0.91,57.46,1,0,18-24,Postpaid_Basic,Premium_Smartphone,3G,2026-03-19
SUB6147581,0.23,0.31,0.66,0.16,90.05,1,1,55+,Prepaid_Monthly,Premium_Smartphone,3G,2026-03-22
SUB2954354,0.15,1.18,1.16,0.59,110.66,0,1,45-54,Postpaid_Unlimited,Tablet,4G,2026-04-01
SUB9242680,0.81,2.36,0.17,1.79,82.28,1,1,18-24,Prepaid_Monthly,Mid_Range,4G,2026-03-23
SUB3428388,0.26,0.17,0.04,0.2,30.44,0,0,55+,Postpaid_Basic,Basic_Phone,5G,2026-04-03
SUB9916786,0.45,0.47,0.76,0.33,126.99,0,0,25-34,Prepaid_Daily,Premium_Smartphone,5G,2026-03-22
SUB3663046,0.29,0.23,0.21,0.04,65.47,0,1,25-34,Prepaid_Monthly,Mid_Range,4G,2026-03-24
SUB6499720,0.26,0.58,0.2,0.11,47.98,0,0,55+,Postpaid_Premium,Mid_Range,4G,2026-04-07
SUB7640913,1.91,6.0,0.27,0.02,56.69,0,0,25-34,Postpaid_Premium,Mid_Range,5G,2026-04-11
SUB4416664,2.45,2.77,0.49,0.01,67.4,0,0,18-24,Prepaid_Monthly,Premium_Smartphone,4G,2026-04-10
SUB4385659,2.25,0.07,0.05,0.0,84.52,0,0,25-34,Postpaid_Basic,Mid_Range,5G,2026-04-08
SUB4385357,0.63,0.84,0.01,0.0,39.17,1,0,35-44,Postpaid_Premium,Mid_Range,4G,2026-04-16
SUB2465689,0.94,0.94,0.48,0.25,54.85,0,0,18-24,Prepaid_Monthly,Mid_Range,4G,2026-04-02
SUB1068148,0.36,0.22,0.51,0.08,94.72,1,0,35-44,Prepaid_Daily,Mid_Range,4G+,2026-04-16
SUB2825665,3.41,0.91,1.13,0.92,110.99,0,1,35-44,Prepaid_Monthly,5G_Device,4G,2026-04-17
SUB3745683,4.36,2.82,0.79,0.05,77.87,0,0,25-34,Postpaid_Basic,Tablet,5G,2026-03-26
SUB5056518,0.21,0.92,0.38,0.19,106.73,0,0,35-44,Prepaid_Daily,5G_Device,4G,2026-03-21
SUB3669995,1.06,0.3,0.69,0.27,61.25,1,0,45-54,Prepaid_Monthly,Tablet,4G,2026-03-31
SUB5997895,0.53,0.61,0.06,0.7,45.65,0,0,25-34,Postpaid_Basic,Mid_Range,4G+,2026-03-25
SUB7397986,3.06,1.59,0.18,4.21,89.77,0,0,25-34,Postpaid_Unlimited,5G_Device,5G,2026-04-14
SUB2870928,0.27,4.47,1.45,0.26,117.4,1,1,25-34,Prepaid_Monthly,Mid_Range,4G+,2026-04-14
SUB5155299,0.14,0.88,0.22,0.11,153.43,1,0,35-44,Prepaid_Daily,Premium_Smartphone,4G+,2026-04-05
SUB7249859,1.46,2.14,0.29,0.06,45.66,1,0,45-54,Postpaid_Basic,Mid_Range,3G,2026-03-22
SUB3305413,5.39,1.9,0.01,0.05,109.16,0,0,25-34,Prepaid_Monthly,5G_Device,4G+,2026-04-02
SUB4910197,0.11,0.81,0.06,0.29,5.0,1,1,25-34,Prepaid_Monthly,Basic_Phone,3G,2026-04-08
SUB6558019,0.09,1.1,1.12,0.32,19.66,0,0,25-34,Postpaid_Basic,Mid_Range,3G,2026-04-12
SUB6414709,1.3,3.05,0.95,0.42,200.0,1,1,35-44,Postpaid_Unlimited,5G_Device,5G,2026-04-14
SUB1271836,1.77,2.26,1.09,0.03,158.89,1,1,18-24,Postpaid_Premium,Premium_Smartphone,4G,2026-04-03
SUB4584702,1.24,1.44,0.84,1.31,131.24,0,1,45-54,Prepaid_Daily,Premium_Smartphone,4G+,2026-03-19
SUB8281369,0.59,1.06,1.99,0.27,118.57,0,1,25-34,Postpaid_Premium,Premium_Smartphone,4G,2026-04-12
SUB3299435,0.23,0.26,0.12,0.1,44.26,0,1,35-44,Prepaid_Monthly,Mid_Range,4G,2026-03-23
SUB9585377,0.77,1.99,0.02,0.15,47.93,1,0,25-34,Prepaid_Monthly,Premium_Smartphone,3G,2026-04-08
SUB3658505,0.6,1.25,0.08,0.18,34.18,1,0,35-44,Postpaid_Unlimited,Basic_Phone,4G,2026-03-22
SUB2271741,2.4,5.25,0.92,2.03,75.89,0,0,18-24,Postpaid_Unlimited,5G_Device,4G,2026-04-14
SUB4769315,0.67,0.76,0.55,0.46,56.06,1,0,35-44,Prepaid_Daily,Premium_Smartphone,3G,2026-03-23
SUB2046797,3.31,1.51,0.49,0.49,127.47,0,0,18-24,Prepaid_Daily,5G_Device,5G,2026-04-11
SUB4047262,1.81,2.1,1.11,1.07,142.6,0,1,18-24,Prepaid_Monthly,Premium_Smartphone,4G+,2026-04-06
SUB1564685,0.39,0.54,1.37,0.03,34.91,0,0,25-34,Postpaid_Basic,Mid_Range,4G,2026-04-09
SUB3879190,8.0,1.13,0.47,1.58,151.61,1,1,35-44,Postpaid_Unlimited,Premium_Smartphone,4G,2026-04-01
SUB6596411,1.38,0.44,0.45,0.12,40.91,0,0,18-24,Prepaid_Daily,Mid_Range,3G,2026-04-02
SUB2007293,3.44,1.2,0.16,0.39,57.7,0,0,18-24,Prepaid_Monthly,Mid_Range,4G,2026-04-01
SUB5774183,0.65,1.57,0.09,0.37,86.79,1,0,45-54,Prepaid_Monthly,5G_Device,4G,2026-04-02
SUB4366612,0.1,0.07,0.02,0.11,56.53,0,0,45-54,Prepaid_Daily,Mid_Range,4G,2026-04-12
SUB9411855,0.46,1.99,4.0,0.39,181.04,1,1,18-24,Postpaid_Premium,Premium_Smartphone,5G,2026-04-06
SUB6267180,0.27,0.25,0.2,0.03,5.0,0,0,35-44,Postpaid_Premium,Basic_Phone,3G,2026-04-14
SUB8807313,0.15,0.18,0.04,0.19,14.73,0,0,25-34,Prepaid_Monthly,Basic_Phone,3G,2026-03-24
SUB3704238,0.36,1.45,1.25,0.11,102.41,0,0,35-44,Prepaid_Daily,Premium_Smartphone,4G+,2026-03-25
SUB3630708,1.94,0.46,0.33,0.43,74.3,0,0,45-54,Prepaid_Daily,5G_Device,5G,2026-03-28
SUB4494679,1.87,0.4,0.57,0.13,59.15,0,0,18-24,Postpaid_Basic,Premium_Smartphone,4G,2026-04-07
SUB6517209,0.89,0.27,0.48,0.61,106.87,1,0,45-54,Prepaid_Monthly,Mid_Range,5G,2026-04-04
SUB2767640,0.88,1.68,0.55,0.32,67.22,1,0,25-34,Postpaid_Basic,Mid_Range,4G,2026-04-08
SUB7723771,2.03,0.85,0.53,1.11,129.1,0,0,35-44,Prepaid_Monthly,5G_Device,5G,2026-03-23
SUB2285160,0.63,2.61,0.52,0.1,151.47,0,1,35-44,Prepaid_Monthly,Premium_Smartphone,4G+,2026-03-31
SUB7080526,0.04,1.22,0.37,0.05,83.72,1,0,55+,Postpaid_Premium,Tablet,4G,2026-04-17
SUB6173036,0.32,0.52,0.2,0.24,13.99,0,0,18-24,Prepaid_Daily,Basic_Phone,5G,2026-04-05
SUB2425472,2.02,6.0,4.0,0.01,133.92,1,0,18-24,Postpaid_Premium,5G_Device,5G,2026-04-13
SUB1048984,6.9,6.0,0.2,0.22,155.07,1,0,18-24,Postpaid_Basic,5G_Device,5G,2026-03-25
SUB7556168,1.61,1.06,0.06,0.35,99.29,1,0,55+,Postpaid_Premium,5G_Device,4G+,2026-03-28
SUB2504384,0.64,0.21,0.02,0.08,7.69,1,0,35-44,Prepaid_Daily,Basic_Phone,4G,2026-04-01
SUB3230919,1.57,4.49,0.67,0.39,155.71,1,1,35-44,Postpaid_Premium,Premium_Smartphone,5G,2026-04-06
SUB7940119,3.56,0.8,0.06,0.23,118.17,1,0,18-24,Prepaid_Daily,Premium_Smartphone,4G+,2026-04-01
SUB2737095,1.16,1.58,0.5,0.6,94.29,0,0,45-54,Postpaid_Unlimited,Premium_Smartphone,4G,2026-03-26
SUB5780450,0.34,1.18,0.05,0.35,85.1,1,1,45-54,Postpaid_Premium,Premium_Smartphone,3G,2026-04-16
SUB8469344,7.32,0.22,0.39,0.47,160.21,0,1,35-44,Prepaid_Monthly,Premium_Smartphone,5G,2026-04-09
SUB3109818,3.11,0.19,0.56,0.46,107.13,0,0,25-34,Prepaid_Monthly,Tablet,5G,2026-04-15
SUB3231785,1.05,4.93,0.15,1.21,73.96,1,0,18-24,Postpaid_Unlimited,Premium_Smartphone,4G,2026-04-10
SUB4853339,8.0,4.11,0.27,0.3,168.03,1,1,35-44,Postpaid_Unlimited,Premium_Smartphone,4G,2026-03-21
SUB1996107,7.1,3.64,1.89,2.32,121.61,0,0,35-44,Postpaid_Unlimited,Premium_Smartphone,4G+,2026-04-06
SUB8130144,7.37,1.98,0.51,6.0,69.08,0,0,18-24,Postpaid_Premium,Premium_Smartphone,4G,2026-04-17
SUB5545583,0.96,4.06,0.52,0.84,51.72,1,0,35-44,Postpaid_Premium,Mid_Range,4G,2026-04-06
SUB4747389,0.15,0.59,0.07,0.32,67.62,0,0,25-34,Postpaid_Basic,Mid_Range,4G+,2026-04-08
SUB5142807,0.12,0.76,0.42,0.01,74.38,0,1,45-54,Prepaid_Daily,5G_Device,4G,2026-03-26
SUB8988004,0.56,0.83,0.22,0.03,21.48,0,0,25-34,Prepaid_Daily,Basic_Phone,5G,2026-04-16
SUB7245035,6.31,1.4,0.89,0.58,92.92,0,0,18-24,Postpaid_Basic,5G_Device,5G,2026-04-12
SUB4602279,4.01,3.02,0.01,0.53,98.7,0,0,25-34,Prepaid_Monthly,5G_Device,4G+,2026-03-27
SUB6515989,2.04,2.62,0.66,0.32,73.55,0,1,25-34,Postpaid_Basic,Premium_Smartphone,4G,2026-04-16
SUB3121690,3.69,6.0,1.06,0.76,132.82,1,0,18-24,Prepaid_Monthly,5G_Device,4G+,2026-03-23
SUB1491234,0.44,0.18,0.14,0.38,59.92,0,0,45-54,Postpaid_Basic,Premium_Smartphone,4G,2026-03-21
SUB6401218,1.09,1.11,0.83,0.0,68.17,0,1,18-24,Prepaid_Monthly,Mid_Range,4G,2026-04-07
SUB7914550,0.15,1.45,1.02,0.19,65.14,0,0,25-34,Postpaid_Basic,Mid_Range,4G,2026-03-22
SUB7167294,0.76,1.04,1.91,0.12,90.75,0,0,18-24,Postpaid_Basic,5G_Device,4G,2026-03-19
SUB7906726,0.34,1.35,0.67,0.38,79.38,0,0,18-24,Prepaid_Daily,Tablet,4G,2026-04-04
SUB6888794,2.27,0.1,1.33,3.8,75.97,0,1,25-34,Postpaid_Unlimited,Mid_Range,4G+,2026-04-15
SUB8558158,1.01,2.03,0.72,0.18,100.98,1,0,18-24,Postpaid_Basic,Mid_Range,5G,2026-04-12
SUB7510425,2.36,1.33,0.71,0.04,94.25,1,0,35-44,Postpaid_Unlimited,Mid_Range,5G,2026-04-02
SUB9511017,4.21,5.8,2.12,0.97,168.42,1,1,18-24,Prepaid_Monthly,Premium_Smartphone,5G,2026-04-16
SUB8887739,0.58,0.43,0.39,0.04,141.12,1,1,35-44,Prepaid_Daily,Premium_Smartphone,4G,2026-03-28
SUB1769598,2.0,3.43,0.7,1.38,78.03,0,1,18-24,Prepaid_Daily,Premium_Smartphone,4G,2026-04-04
SUB6292895,2.41,2.67,0.49,0.99,81.04,0,1,18-24,Prepaid_Daily,5G_Device,4G,2026-03-27
SUB8971379,0.2,1.56,0.13,0.11,68.43,0,0,25-34,Prepaid_Daily,Premium_Smartphone,3G,2026-04-05
SUB4331068,0.48,0.23,0.05,0.02,61.95,1,0,45-54,Prepaid_Daily,Mid_Range,4G,2026-03-27
SUB4256415,2.4,1.52,0.11,0.14,67.19,0,0,35-44,Postpaid_Unlimited,Mid_Range,5G,2026-03-19
SUB1874371,2.94,0.89,0.27,0.35,73.78,0,0,45-54,Postpaid_Unlimited,5G_Device,4G,2026-04-16
SUB6654237,4.68,6.0,3.34,0.65,139.8,0,0,18-24,Postpaid_Unlimited,Premium_Smartphone,5G,2026-04-11
SUB1973548,0.9,0.76,0.0,0.1,57.89,0,0,45-54,Postpaid_Unlimited,Mid_Range,4G,2026-03-23
SUB4344014,0.45,0.55,0.04,1.94,74.9,1,1,18-24,Postpaid_Basic,Mid_Range,4G,2026-04-10
SUB8064746,0.73,1.91,0.79,0.52,55.71,0,0,18-24,Postpaid_Basic,5G_Device,4G,2026-04-04
SUB7216204,1.27,0.87,0.26,0.27,51.69,0,0,35-44,Prepaid_Daily,Mid_Range,5G,2026-03-28
SUB6193542,2.12,0.22,0.59,0.31,91.17,0,0,25-34,Prepaid_Daily,Premium_Smartphone,4G,2026-04-13
SUB3959034,0.19,1.55,0.03,0.15,127.04,0,1,55+,Postpaid_Premium,Premium_Smartphone,4G,2026-04-03
SUB5574293,8.0,3.2,2.24,0.58,35.59,0,0,18-24,Postpaid_Unlimited,Mid_Range,4G,2026-03-30
SUB7706971,1.0,0.91,0.45,0.09,118.77,0,0,55+,Postpaid_Premium,Premium_Smartphone,5G,2026-03-27
SUB1043585,0.34,2.72,0.2,0.1,75.0,0,0,35-44,Postpaid_Premium,Mid_Range,5G,2026-03-24
SUB3539448,0.54,0.65,0.06,0.01,47.5,0,0,35-44,Prepaid_Monthly,Mid_Range,4G,2026-03-26
SUB1109556,2.05,0.4,0.02,0.32,40.95,0,1,18-24,Postpaid_Basic,Mid_Range,3G,2026-03-24
SUB2575557,4.3,0.58,0.67,0.19,94.52,0,0,25-34,Postpaid_Basic,Premium_Smartphone,4G,2026-04-04
SUB9306461,2.45,1.85,0.12,0.69,83.7,0,1,55+,Postpaid_Unlimited,5G_Device,4G,2026-03-23
SUB3009021,1.43,3.45,0.55,0.04,74.35,0,1,25-34,Postpaid_Unlimited,Mid_Range,4G+,2026-04-02
SUB2201482,0.73,0.94,0.72,1.82,90.12,1,1,35-44,Postpaid_Basic,5G_Device,4G,2026-03-23
